symbol,timestamp,open,high,low,close,volume,date
XXBTZUSD,1523059200,6613.8999,7077.7002,6602.2002,6893.1001,6684.7209,07/04/2018
XXBTZUSD,1523145600,6885.0000,7113.6001,6878.6001,7014.5000,4464.7373,08/04/2018
XXBTZUSD,1523232000,7022.8999,7186.1001,6608.2998,6773.3999,9945.5168,09/04/2018
XXBTZUSD,1523318400,6774.2002,6888.0000,6646.7998,6830.0000,4965.8893,10/04/2018
XXBTZUSD,1523404800,6829.8999,6969.0000,6798.0000,6941.0000,4106.7600,11/04/2018
XXBTZUSD,1523491200,6940.8999,8500.0000,6759.0000,7919.8999,15139.2373,12/04/2018
XXBTZUSD,1523577600,7919.8999,8240.4004,7741.0000,7882.5000,10669.7102,13/04/2018
XXBTZUSD,1523664000,7882.3999,8215.2998,7816.2002,8004.8999,5013.1648,14/04/2018
XXBTZUSD,1523750400,8005.0000,8422.0000,7996.6001,8363.2998,4067.7752,15/04/2018
XXBTZUSD,1523836800,8374.0000,8429.7998,7902.0000,8057.1001,5906.2366,16/04/2018
XXBTZUSD,1523923200,8057.2002,8181.3999,7800.2998,7893.1001,5197.5800,17/04/2018
XXBTZUSD,1524009600,7893.0000,8308.0000,7865.0000,8170.0000,5577.1104,18/04/2018
XXBTZUSD,1524096000,8170.6001,8308.0000,8099.7002,8275.7002,3584.3254,19/04/2018
XXBTZUSD,1524182400,8267.5000,8943.7998,8226.0000,8875.0000,7749.0225,20/04/2018
XXBTZUSD,1524268800,8875.0996,9075.0000,8629.2998,8944.5996,5032.7049,21/04/2018
XXBTZUSD,1524355200,8939.7002,9072.0000,8760.5000,8811.7998,4049.5996,22/04/2018
XXBTZUSD,1524441600,8796.2998,9032.0996,8784.9004,8954.0996,4291.0927,23/04/2018
XXBTZUSD,1524528000,8959.0000,9749.0000,8947.0000,9661.7002,8904.0285,24/04/2018
XXBTZUSD,1524614400,9661.7002,9750.0000,8767.0000,8855.7002,14048.6325,25/04/2018
XXBTZUSD,1524700800,8857.0000,9300.0000,8555.0000,9291.4004,7802.7531,26/04/2018
XXBTZUSD,1524787200,9281.7002,9381.9004,8891.7998,8917.7998,6206.9003,27/04/2018
XXBTZUSD,1524873600,8917.7998,9437.2002,8865.0000,9339.2002,4802.2085,28/04/2018
XXBTZUSD,1524960000,9328.0996,9538.0000,9165.0000,9411.2002,3800.9734,29/04/2018
XXBTZUSD,1525046400,9407.4004,9453.9004,9110.7002,9243.2002,4135.3959,30/04/2018
XXBTZUSD,1525132800,9246.5000,9246.5000,8830.0000,9081.2998,5955.9221,01/05/2018
XXBTZUSD,1525219200,9074.2998,9262.0000,8979.0000,9217.0996,3876.8199,02/05/2018
XXBTZUSD,1525305600,9233.2998,9799.9004,9170.0996,9735.9004,5992.5073,03/05/2018
XXBTZUSD,1525392000,9731.0996,9779.9004,9511.0000,9688.9004,4244.2872,04/05/2018
XXBTZUSD,1525478400,9687.9004,9962.0000,9465.0000,9795.0000,3999.8793,05/05/2018
XXBTZUSD,1525564800,9794.9004,9899.0000,9364.0000,9604.9004,3174.1311,06/05/2018
